date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:02	0/0	---MC-	200	added ('OK')	text/plain	date:Tue,%2011%20Nov%202025%2009:17:20%20GMT	http://www.jbc-japan.co.jp/robots.txt		(from )
18:17:03	44068/44068	---MC-	200	added ('OK')	text/html	etag:W/%227d477a41e23dfed12c9c3d79eaad4508%22	http://www.jbc-japan.co.jp/	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/index.html	(from )
18:17:05	57/57	---M--	200	added ('OK')	text/css	etag:%2239-64142fa584600%22	http://www.jbc-japan.co.jp/cms_v2/_master/acre/common/css/noscript.css	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/cms_v2/_master/acre/common/css/noscript.css	(from http://www.jbc-japan.co.jp/)
18:17:13	37877/37877	---MC-	200	added ('OK')	text/html	etag:W/%22546999264a9e863ac0b8e13ae36f0328%22	http://www.jbc-japan.co.jp/yoyaku	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/yoyaku.html	(from http://www.jbc-japan.co.jp/)
18:17:15	33648/33648	---MC-	200	added ('OK')	text/html	etag:W/%22e71b63170e79d7aa4f0e53eb7a41c88b%22	http://www.jbc-japan.co.jp/concept	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/concept.html	(from http://www.jbc-japan.co.jp/)
18:17:16	4954301/4954301	---MCZ	200	added ('OK')	text/css	etag:%224b98bd-64142fac315c0-gzip%22	http://www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/theme.css?1687511409	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/_master/acre/themes/030-L25/pc/themed057.css	(from http://www.jbc-japan.co.jp/)
18:17:16	45068/45068	---MC-	200	added ('OK')	text/html	etag:W/%226265661651503529c19a95d3f5d17941%22	http://www.jbc-japan.co.jp/service	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/service.html	(from http://www.jbc-japan.co.jp/)
18:17:16	31230/31230	---MC-	200	added ('OK')	text/html	etag:W/%22e19bde13d09353532f35766e6f88efd2%22	http://www.jbc-japan.co.jp/tour	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/tour.html	(from http://www.jbc-japan.co.jp/)
18:17:17	34639/34639	---MC-	200	added ('OK')	text/html	etag:W/%227ec948a101bea76ded5d431047bb89af%22	http://www.jbc-japan.co.jp/contact	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/contact.html	(from http://www.jbc-japan.co.jp/)
18:17:19	31387/31387	---MC-	200	added ('OK')	text/html	etag:W/%22109055afea91b4dda02dfe533240d386%22	http://www.jbc-japan.co.jp/14702972908595	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/14702972908595.html	(from http://www.jbc-japan.co.jp/)
18:17:19	47799/47799	---MC-	200	added ('OK')	text/html	etag:W/%22ca8d9dec302b33a52f29fd895a4268a6%22	http://www.jbc-japan.co.jp/14702973733284	C:/My%20Web%20Sites/jbc-japan-new/www.jbc-japan.co.jp/14702973733284.html	(from http://www.jbc-japan.co.jp/)
